text,label,raw_label,true_label,true_name,pred_label,pred_name,prob_0_负向,prob_1_正向
"味道还可以,大酱汤汤多料少,土豆比较多水果沙拉还不错",0,0,0,负向,1,正向,0.15699376165866852,0.8430061936378479
商家真的很在意备注留言，米饭给的很多，不要辣椒一点辣椒都没放。小黄鱼也没给炸干。就是觉得这次油不太好,1,1,1,正向,0,负向,0.9990924596786499,0.0009075916605070233
太烂了，太无语了,0,0,0,负向,1,正向,0.37542402744293213,0.6245759725570679
除了粉之外，其他的配菜有点老,0,0,0,负向,1,正向,0.22196246683597565,0.7780375480651855
"没有想象中好吃,没味道,可能,鱼香好吃点",0,1,0,负向,1,正向,0.26632145047187805,0.7336785793304443
少一份南瓜粥,0,0,0,负向,1,正向,0.49766016006469727,0.5023398995399475
红烧鲫鱼简直无法直视，32块钱两条小小鱼，还没鱼缸里的锦鲤大呢，鱼肉非常少，薄薄的一层，鱼刺超级多，不说了，满满都是泪…,0,0,0,负向,1,正向,0.2150462567806244,0.784953773021698
还行吧，份量挺大，就是煎饼里的油条都蔫了。整个煎饼被挤成了一坨…,0,0,0,负向,1,正向,0.2812056839466095,0.7187943458557129
辣口，比较油腻，一共五六块鱼，其中两块是头骨。没吃饱。。。,0,0,0,负向,1,正向,0.3690106272697449,0.6309894323348999
送餐速度很快，但南瓜粥馊了还送！,0,0,0,负向,1,正向,0.20556019246578217,0.7944398522377014
速度很快，就是蔬菜沙拉没有酱，也没有筷子和勺,0,0,0,负向,1,正向,0.148024782538414,0.8519752621650696
2小时到的，不过快递小哥挺辛苦的,0,0,0,负向,1,正向,0.06659099459648132,0.9334089756011963
下雨送的晚了点，煎饼口感不太好了,0,0,0,负向,1,正向,0.24001529812812805,0.7599847316741943
我点的一个扁豆焖面套餐，还单点了一个奶茶，还有一个煎饼，结果只给我了一杯奶茶，套餐的可乐没给我，客服电话还老打不通，送餐师傅也不容易，算了，习惯好评。希望店家能在网页上留下送餐师傅的电话好即时联系。,1,1,1,正向,0,负向,0.6311761736869812,0.3688237965106964
我居然还买了第二次,0,0,0,负向,1,正向,0.43668538331985474,0.5633146166801453
什锦蘑菇有些腻，饭量挺大的…,1,1,1,正向,0,负向,0.812390148639679,0.18760988116264343
"香锅味道与川成元味道相差甚远,无餐具,包装袋也不是川成园的！！",0,0,0,负向,1,正向,0.3287983238697052,0.6712016463279724
鱼香肉丝味道完全不对，饼很硬,0,0,0,负向,1,正向,0.481548935174942,0.5184510946273804
