text,label,raw_label,true_label,true_name,pred_label,pred_name,prob_0_负向,prob_1_正向
回锅肉肉给的多但超级干所以不好吃，送餐不给餐具,0,0,0,负向,1,正向,0.34028053283691406,0.6597195267677307
"味道还可以,大酱汤汤多料少,土豆比较多水果沙拉还不错",0,0,0,负向,1,正向,0.26581302285194397,0.7341870069503784
商家真的很在意备注留言，米饭给的很多，不要辣椒一点辣椒都没放。小黄鱼也没给炸干。就是觉得这次油不太好,1,1,1,正向,0,负向,0.755707859992981,0.24429215490818024
除了粉之外，其他的配菜有点老,0,0,0,负向,1,正向,0.4507787823677063,0.5492212176322937
"没有想象中好吃,没味道,可能,鱼香好吃点",0,1,0,负向,1,正向,0.24467942118644714,0.7553206086158752
少一份南瓜粥,0,0,0,负向,1,正向,0.4874280095100403,0.5125719904899597
包装牛逼，送餐速度……咳咳……,0,0,0,负向,1,正向,0.3442237675189972,0.6557762026786804
送餐速度很快，但南瓜粥馊了还送！,0,0,0,负向,1,正向,0.042717572301626205,0.9572823643684387
速度很快，就是蔬菜沙拉没有酱，也没有筷子和勺,0,0,0,负向,1,正向,0.4364258944988251,0.5635741353034973
有史以来最好吃的卷饼！我决定明天再点一份！不然对不起这卷饼啦！耶！,1,1,1,正向,0,负向,0.7201670408248901,0.2798329293727875
2小时到的，不过快递小哥挺辛苦的,0,0,0,负向,1,正向,0.3704507648944855,0.6295492053031921
我点的一个扁豆焖面套餐，还单点了一个奶茶，还有一个煎饼，结果只给我了一杯奶茶，套餐的可乐没给我，客服电话还老打不通，送餐师傅也不容易，算了，习惯好评。希望店家能在网页上留下送餐师傅的电话好即时联系。,1,1,1,正向,0,负向,0.8297651410102844,0.1702347993850708
以后送外卖的没到就先打电话让人等半天的我都打一星,0,0,0,负向,1,正向,0.49898773431777954,0.5010122656822205
很棒，除了自己和老妈做的，也就他家的饭菜让我觉得可口了,1,1,1,正向,0,负向,0.7418550848960876,0.25814494490623474
什锦蘑菇有些腻，饭量挺大的…,1,1,1,正向,0,负向,0.5927024483680725,0.4072974920272827
肉里夹着一根头发！整盆都黑乎乎的让人看着不敢吃！就是一大盆黑色！打商家电话提示空号……太无语了！,0,0,0,负向,1,正向,0.45310771465301514,0.5468922257423401
"香锅味道与川成元味道相差甚远,无餐具,包装袋也不是川成园的！！",0,0,0,负向,1,正向,0.3001120984554291,0.6998879909515381
粥很稀，卷饼厚，内容少，等待时间太漫长，服务态度还不错,0,0,0,负向,1,正向,0.16895955801010132,0.8310404419898987
味道很好，分量好像比在店吃的少。,0,0,0,负向,1,正向,0.05506732687354088,0.9449326992034912
第一次点餐，太惊艳了，在这种雾霾天，下单之后20分钟就送到了，还没品尝，直接全给五星好评，外卖小哥辛苦了，你们要注意身体哦，么么哒,1,1,1,正向,0,负向,0.7865287661552429,0.2134712040424347
送餐及时，可以说很快！大冷的天儿还能保证食物温度真的很感谢配餐小哥儿，更好的是服务还周到,1,1,1,正向,0,负向,0.5550841093063354,0.44491586089134216
紫苏黄瓜油大了点。烧椒皮蛋醋多了辣椒吃起来发酸,1,1,1,正向,0,负向,0.7166821956634521,0.28331783413887024
简直太好吃，不过我弄了一裤子油TAT皮蛋瘦肉粥棒棒哒！,1,1,1,正向,0,负向,0.6174765825271606,0.38252341747283936
"菜很便宜,也很实惠,个人认为以后不会再定了",0,0,0,负向,1,正向,0.3760197162628174,0.6239802837371826
金手勺店内的菜不错来着，为什么外卖的这么差，都没我做的好吃，真的不想再评价！,0,0,0,负向,1,正向,0.4588682949542999,0.5411316752433777
还不错，就是时间太长了，催单两次，菜味道还不错,0,0,0,负向,1,正向,0.06381496787071228,0.9361850023269653
酸辣土豆丝为何放那么多生姜！,0,0,0,负向,1,正向,0.4514022767543793,0.5485977530479431
说得再好也是虚的，只有自己吃了才知道。,1,1,1,正向,0,负向,0.9358667731285095,0.06413319706916809
肘子肉的很好，素的基本没有菜，只放了酱。送货速度还可以。不到一小时就到了。,1,1,1,正向,0,负向,0.8149941563606262,0.18500584363937378
昨天送的肉丝的大,0,0,0,负向,1,正向,0.3903426229953766,0.609657347202301
二十分钟到了，太给力，大赞,1,1,1,正向,0,负向,0.546189546585083,0.4538104832172394
东西挺好，有点儿辣有点儿咸。送餐速度慢哭了。。。。。。,0,0,0,负向,1,正向,0.36650216579437256,0.6334978938102722
"味道就那样把,盖浇饭挺难吃的",0,0,0,负向,1,正向,0.3108411133289337,0.6891588568687439
饭和丸子是热的，大酱汤冰凉，外卖小哥挺好,0,0,0,负向,1,正向,0.4656103849411011,0.5343896150588989
不到半个小时就送到了，超快,1,1,1,正向,0,负向,0.6964671015739441,0.3035328686237335
"肉卷吃的我有点腻,个人口味的问题吧,皮蛋瘦肉粥不错",1,1,1,正向,0,负向,0.6121005415916443,0.3878995180130005
煲仔饭一如既往的好吃，但是鸡煲味道一般!,0,0,0,负向,1,正向,0.29758837819099426,0.7024116516113281
没有店里的好吃,0,0,0,负向,1,正向,0.3903699815273285,0.6096300482749939
还好吧。饼的口味差点儿,1,1,1,正向,0,负向,0.6800339818000793,0.31996604800224304
热饮也有大杯就好了，中杯不够喝的,1,1,1,正向,0,负向,0.7850675582885742,0.21493244171142578
口味一般，价格便宜，饭菜分装，包装很好，送的及时，性价比高。,0,0,0,负向,1,正向,0.3144083619117737,0.6855915784835815
送货人员服务很好，只是点的菜品一般,0,0,0,负向,1,正向,0.29307037591934204,0.706929624080658
煎饼不适合外卖，时间稍长就软塌了，,1,1,1,正向,0,负向,0.828859806060791,0.17114019393920898
