approved,split,row_index,text,old_label,new_label,old_name,new_name,decision,confidence,is_mixed_sentiment,reason,positive_hits,negative_hits
1,train,0,"难吃不说,外包装的锡纸把嘴喇破了流血了,都不敢笑了,发誓以后跟这个正能量饼说拜拜…[",1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 难吃/喇破/流血,,难吃|喇破|流血
0,train,178,味道很好，就是送太慢了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,train,350,九点多订的餐、等了两个多小时。速度太慢了。,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 慢/太慢/等了,,慢|太慢|等了
1,train,499,包装很精美，卷饼味道很棒！我喜欢！,0,1,负向,正向,candidate_label_error,high,0,原标签为负向，但明显正向表达 3 处: 味道很棒/很棒/喜欢,味道很棒|很棒|喜欢,
0,train,539,包装袋好精致，卷饼的味道也很香，就是南瓜粥没味道，可能是不合我口味吧,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 没味/没味道,,没味|没味道
0,train,578,东西还是一如既往好，只是不知道这次什么原因很慢,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/很慢,,慢|很慢
1,train,613,菜味很棒，希望继续努力，支持你！,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 很棒/支持,很棒|支持,
0,train,945,饭馆离家一站地，俩小时才送来，虽然冬至吃饺子的多，也太慢了。不过百度赔付逾时费了，确实没想到。,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 慢/太慢/赔,,慢|太慢|赔
1,train,980,菜太难吃了！一次够了！再也不买了,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 难吃/太难吃/再也不,,难吃|太难吃|再也不
0,train,1040,太慢了。挺好啊,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,train,1392,不错，就是橙汁都不好喝,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好喝/不好,,不好喝|不好
0,train,1452,送得太慢了～味道很好,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,train,1797,送餐太慢。。。，我觉得是太饿了，才感觉好吃。,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,train,1800,不错，就是豆浆橙汁都不好喝,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好喝/不好,,不好喝|不好
1,train,1922,唯一的缺点是每次都有些凉了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 凉了/缺,,凉了|缺
0,train,1938,味道一级棒，就是配送太慢了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,train,2056,还行，肘子吃完有点儿恶心，送餐太慢,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 恶心/慢/太慢,,恶心|慢|太慢
1,train,2111,分量有点少，鸡腿肉不好吃，八宝菜原来是咸菜。。。,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
0,train,2302,蛋糕味道不错！明明约的是10点至十二点送货，结果九点半就来了，买了两个蜡烛，要的是2和9，结果给的是7和9，完全不注意，老公为此还笑话我了，整体满意吧,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 味道不错/满意,味道不错|满意,
